  0.11400000E+02  0.14586385E-21  0.42337852E-37
  0.11500000E+02  0.14367941E-21  0.42670214E-37
  0.11600000E+02  0.14154221E-21  0.39610802E-37
  0.11700000E+02  0.13945091E-21  0.37863600E-37
  0.11800000E+02  0.13740425E-21  0.42175637E-37
  0.11900000E+02  0.13540099E-21  0.39774213E-37
  0.12000000E+02  0.13343993E-21  0.38661361E-37
  0.12100000E+02  0.13151993E-21  0.41362470E-37
  0.12200000E+02  0.12963987E-21  0.36463999E-37
  0.12300000E+02  0.12779868E-21  0.37979826E-37
  0.12400000E+02  0.12599531E-21  0.39004333E-37
  0.12500000E+02  0.12422875E-21  0.35068904E-37
  0.12600000E+02  0.12249804E-21  0.35347385E-37
  0.12700000E+02  0.12080223E-21  0.37243487E-37
  0.12800000E+02  0.11914040E-21  0.34253446E-37
  0.12900000E+02  0.11751169E-21  0.34974260E-37
  0.13000000E+02  0.11591522E-21  0.32283639E-37
  0.13100000E+02  0.11435017E-21  0.33326256E-37
  0.13200000E+02  0.11281575E-21  0.33763225E-37
  0.13300000E+02  0.11131117E-21  0.32704788E-37
  0.13400000E+02  0.10983568E-21  0.31357219E-37
  0.13500000E+02  0.10838855E-21  0.32163406E-37
  0.13600000E+02  0.10696908E-21  0.30585725E-37
  0.13700000E+02  0.10557657E-21  0.29836304E-37
  0.13800000E+02  0.10421038E-21  0.31388429E-37
  0.13900000E+02  0.10286984E-21  0.28823682E-37
  0.14000000E+02  0.10155434E-21  0.28287182E-37
  0.14100000E+02  0.10026326E-21  0.31510684E-37
  0.14200000E+02  0.98996031E-22  0.27322632E-37
  0.14300000E+02  0.97752066E-22  0.25491422E-37
  0.14400000E+02  0.96530815E-22  0.27179064E-37
  0.14500000E+02  0.95331739E-22  0.27934528E-37
  0.14600000E+02  0.94154316E-22  0.27323710E-37
  0.14700000E+02  0.92998038E-22  0.25513170E-37
  0.14800000E+02  0.91862413E-22  0.26599603E-37
  0.14900000E+02  0.90746960E-22  0.25629653E-37
  0.15000000E+02  0.89651215E-22  0.25639771E-37
  0.15100000E+02  0.88574725E-22  0.25492865E-37
  0.15200000E+02  0.87517051E-22  0.24115022E-37
  0.15300000E+02  0.86477765E-22  0.23808508E-37
  0.15400000E+02  0.85456452E-22  0.24672761E-37
  0.15500000E+02  0.84452708E-22  0.23941782E-37
  0.15600000E+02  0.83466140E-22  0.23479780E-37
  0.15700000E+02  0.82496365E-22  0.21463857E-37
  0.15800000E+02  0.81543013E-22  0.23636736E-37
  0.15900000E+02  0.80605722E-22  0.23233708E-37
  0.16000000E+02  0.79684140E-22  0.22951676E-37
  0.16100000E+02  0.78777923E-22  0.22683879E-37
  0.16200000E+02  0.77886740E-22  0.22278668E-37
  0.16300000E+02  0.77010266E-22  0.21500213E-37
  0.16400000E+02  0.76148184E-22  0.21686960E-37
  0.16500000E+02  0.75300187E-22  0.21363754E-37
  0.16600000E+02  0.74465976E-22  0.22077950E-37
  0.16700000E+02  0.73645258E-22  0.21942010E-37
  0.16800000E+02  0.72837750E-22  0.20810808E-37
  0.16900000E+02  0.72043176E-22  0.20784311E-37
  0.17000000E+02  0.71261264E-22  0.20320748E-37
  0.17100000E+02  0.70491752E-22  0.19332024E-37
  0.17200000E+02  0.69734385E-22  0.21002108E-37
  0.17300000E+02  0.68988912E-22  0.19319125E-37
  0.17400000E+02  0.68255090E-22  0.19915451E-37
  0.17500000E+02  0.67532682E-22  0.18447243E-37
  0.17600000E+02  0.66821457E-22  0.18683359E-37
  0.17700000E+02  0.66121188E-22  0.18570083E-37
  0.17800000E+02  0.65431656E-22  0.18342531E-37
  0.17900000E+02  0.64752646E-22  0.18625537E-37
  0.18000000E+02  0.64083948E-22  0.19701483E-37
  0.18100000E+02  0.63425360E-22  0.18390990E-37
  0.18200000E+02  0.62776680E-22  0.17835589E-37
  0.18300000E+02  0.62137715E-22  0.18700492E-37
  0.18400000E+02  0.61508275E-22  0.18131582E-37
  0.18500000E+02  0.60888175E-22  0.18105388E-37
  0.18600000E+02  0.60277234E-22  0.17422788E-37
  0.18700000E+02  0.59675275E-22  0.16582385E-37
  0.18800000E+02  0.59082125E-22  0.16153640E-37
