  0.63000000E+01  0.32279580E-22  0.12539647E-38
  0.64000000E+01  0.31837308E-22  0.92454746E-39
  0.65000000E+01  0.31400034E-22  0.10261191E-38
  0.66000000E+01  0.30967848E-22  0.87225501E-39
  0.67000000E+01  0.30540831E-22  0.12135587E-38
  0.68000000E+01  0.30119049E-22  0.82542636E-39
  0.69000000E+01  0.29702561E-22  0.95981932E-39
  0.70000000E+01  0.29291412E-22  0.78086039E-39
  0.71000000E+01  0.28885641E-22  0.85353141E-39
  0.72000000E+01  0.28485276E-22  0.73343287E-39
  0.73000000E+01  0.28090337E-22  0.92201457E-39
  0.74000000E+01  0.27700837E-22  0.70119816E-39
  0.75000000E+01  0.27316781E-22  0.90353688E-39
  0.76000000E+01  0.26938166E-22  0.53606954E-39
  0.77000000E+01  0.26564984E-22  0.74326197E-39
  0.78000000E+01  0.26197222E-22  0.72620467E-39
  0.79000000E+01  0.25834860E-22  0.62695106E-39
  0.80000000E+01  0.25477872E-22  0.56189540E-39
  0.81000000E+01  0.25126230E-22  0.83407209E-39
  0.82000000E+01  0.24779900E-22  0.63692441E-39
  0.83000000E+01  0.24438845E-22  0.38978210E-39
  0.84000000E+01  0.24103024E-22  0.72590251E-39
  0.85000000E+01  0.23772392E-22  0.53122243E-39
  0.86000000E+01  0.23446902E-22  0.59154569E-39
  0.87000000E+01  0.23126504E-22  0.76836264E-39
  0.88000000E+01  0.22811147E-22  0.54044135E-39
  0.89000000E+01  0.22500776E-22  0.61082193E-39
  0.90000000E+01  0.22195334E-22  0.39480761E-39
  0.91000000E+01  0.21894764E-22  0.48512237E-39
  0.92000000E+01  0.21599007E-22  0.47887784E-39
  0.93000000E+01  0.21308001E-22  0.49756401E-39
  0.94000000E+01  0.21021686E-22  0.55312017E-39
  0.95000000E+01  0.20739999E-22  0.40928365E-39
  0.96000000E+01  0.20462876E-22  0.48620182E-39
  0.97000000E+01  0.20190254E-22  0.46738260E-39
  0.98000000E+01  0.19922069E-22  0.49496635E-39
  0.99000000E+01  0.19658254E-22  0.41260478E-39
  0.10000000E+02  0.19398747E-22  0.49443827E-39
  0.10100000E+02  0.19143481E-22  0.46997788E-39
  0.10200000E+02  0.18892392E-22  0.40953595E-39
  0.10300000E+02  0.18645414E-22  0.47238101E-39
  0.10400000E+02  0.18402483E-22  0.38324519E-39
  0.10500000E+02  0.18163533E-22  0.36433923E-39
  0.10600000E+02  0.17928502E-22  0.33801136E-39
  0.10700000E+02  0.17697325E-22  0.28676982E-39
  0.10800000E+02  0.17469937E-22  0.40628269E-39
  0.10900000E+02  0.17246277E-22  0.37322198E-39
  0.11000000E+02  0.17026282E-22  0.34064687E-39
  0.11100000E+02  0.16809889E-22  0.41095156E-39
  0.11200000E+02  0.16597037E-22  0.44226479E-39
  0.11300000E+02  0.16387666E-22  0.36788207E-39
  0.11400000E+02  0.16181716E-22  0.35256615E-39
  0.11500000E+02  0.15979126E-22  0.29491661E-39
  0.11600000E+02  0.15779839E-22  0.31691135E-39
  0.11700000E+02  0.15583797E-22  0.29037645E-39
  0.11800000E+02  0.15390941E-22  0.34715669E-39
  0.11900000E+02  0.15201217E-22  0.31929703E-39
  0.12000000E+02  0.15014567E-22  0.25868191E-39
  0.12100000E+02  0.14830938E-22  0.34100867E-39
  0.12200000E+02  0.14650276E-22  0.29517774E-39
  0.12300000E+02  0.14472526E-22  0.26880366E-39
  0.12400000E+02  0.14297638E-22  0.30530821E-39
  0.12500000E+02  0.14125558E-22  0.37083159E-39
  0.12600000E+02  0.13956237E-22  0.26848507E-39
  0.12700000E+02  0.13789625E-22  0.34181666E-39
  0.12800000E+02  0.13625672E-22  0.18941703E-39
  0.12900000E+02  0.13464330E-22  0.28823134E-39
  0.13000000E+02  0.13305551E-22  0.27650278E-39
  0.13100000E+02  0.13149290E-22  0.23565246E-39
  0.13200000E+02  0.12995499E-22  0.15618842E-39
  0.13300000E+02  0.12844135E-22  0.23964224E-39
  0.13400000E+02  0.12695152E-22  0.22450098E-39
  0.13500000E+02  0.12548508E-22  0.30844181E-39
  0.13600000E+02  0.12404159E-22  0.24573925E-39
  0.13700000E+02  0.12262064E-22  0.27027749E-39
  0.13800000E+02  0.12122182E-22  0.19791605E-39
  0.13900000E+02  0.11984471E-22  0.16262212E-39
  0.14000000E+02  0.11848893E-22  0.15317117E-39
  0.14100000E+02  0.11715409E-22  0.20259118E-39
  0.14200000E+02  0.11583980E-22  0.19622077E-39
  0.14300000E+02  0.11454569E-22  0.25112188E-39
  0.14400000E+02  0.11327139E-22  0.18838133E-39
  0.14500000E+02  0.11201654E-22  0.25885029E-39
  0.14600000E+02  0.11078079E-22  0.14841443E-39
  0.14700000E+02  0.10956379E-22  0.16368215E-39
  0.14800000E+02  0.10836520E-22  0.24049305E-39
  0.14900000E+02  0.10718469E-22  0.24730908E-39
  0.15000000E+02  0.10602192E-22  0.17820515E-39
  0.15100000E+02  0.10487659E-22  0.15912334E-39
  0.15200000E+02  0.10374837E-22  0.17716501E-39
  0.15300000E+02  0.10263695E-22  0.23531442E-39
  0.15400000E+02  0.10154204E-22  0.26055949E-39
  0.15500000E+02  0.10046333E-22  0.21755512E-39
  0.15600000E+02  0.99400539E-23  0.21687307E-39
  0.15700000E+02  0.98353378E-23  0.19491242E-39
  0.15800000E+02  0.97321568E-23  0.15961100E-39
  0.15900000E+02  0.96304835E-23  0.15185544E-39
  0.16000000E+02  0.95302909E-23  0.15861256E-39
  0.16100000E+02  0.94315529E-23  0.20167930E-39
  0.16200000E+02  0.93342435E-23  0.12911146E-39
  0.16300000E+02  0.92383375E-23  0.16687866E-39
  0.16400000E+02  0.91438100E-23  0.15748492E-39
  0.16500000E+02  0.90506368E-23  0.19991971E-39
  0.16600000E+02  0.89587939E-23  0.19135180E-39
  0.16700000E+02  0.88682581E-23  0.22809905E-39
  0.16800000E+02  0.87790064E-23  0.13043627E-39
  0.16900000E+02  0.86910164E-23  0.12834271E-39
  0.17000000E+02  0.86042661E-23  0.12269991E-39
  0.17100000E+02  0.85187338E-23  0.13608042E-39
  0.17200000E+02  0.84343984E-23  0.13670239E-39
  0.17300000E+02  0.83512392E-23  0.13364925E-39
  0.17400000E+02  0.82692359E-23  0.16197750E-39
  0.17500000E+02  0.81883685E-23  0.15014812E-39
  0.17600000E+02  0.81086175E-23  0.15410355E-39
  0.17700000E+02  0.80299637E-23  0.13929377E-39
  0.17800000E+02  0.79523883E-23  0.22965099E-39
  0.17900000E+02  0.78758730E-23  0.15603372E-39
  0.18000000E+02  0.78003997E-23  0.12540091E-39
  0.18100000E+02  0.77259506E-23  0.12676067E-39
  0.18200000E+02  0.76525085E-23  0.15402645E-39
  0.18300000E+02  0.75800564E-23  0.12361523E-39
  0.18400000E+02  0.75085774E-23  0.10672107E-39
  0.18500000E+02  0.74380553E-23  0.13746212E-39
  0.18600000E+02  0.73684741E-23  0.16060784E-39
  0.18700000E+02  0.72998180E-23  0.13406833E-39
  0.18800000E+02  0.72320715E-23  0.11264916E-39
  0.18900000E+02  0.71652196E-23  0.98654062E-40
  0.19000000E+02  0.70992474E-23  0.13309058E-39
  0.19100000E+02  0.70341404E-23  0.15279955E-39
  0.19200000E+02  0.69698842E-23  0.10628356E-39
  0.19300000E+02  0.69064650E-23  0.10624312E-39
  0.19400000E+02  0.68438689E-23  0.10622890E-39
  0.19500000E+02  0.67820826E-23  0.77312896E-40
  0.19600000E+02  0.67210927E-23  0.10605380E-39
  0.19700000E+02  0.66608864E-23  0.14310899E-39
  0.19800000E+02  0.66014509E-23  0.13932539E-39
  0.19900000E+02  0.65427738E-23  0.11071092E-39
  0.20000000E+02  0.64848428E-23  0.72586778E-40
  0.20100000E+02  0.64276460E-23  0.13149679E-39
  0.20200000E+02  0.63711715E-23  0.94831232E-40
  0.20300000E+02  0.63154078E-23  0.13481979E-39
  0.20400000E+02  0.62603435E-23  0.11246416E-39
  0.20500000E+02  0.62059677E-23  0.67507264E-40
  0.20600000E+02  0.61522692E-23  0.12440687E-39
  0.20700000E+02  0.60992375E-23  0.60616465E-40
  0.20800000E+02  0.60468620E-23  0.13915899E-39
  0.20900000E+02  0.59951324E-23  0.10679873E-39
  0.21000000E+02  0.59440386E-23  0.95084185E-40
  0.21100000E+02  0.58935706E-23  0.99293460E-40
  0.21200000E+02  0.58437187E-23  0.12373097E-39
  0.21300000E+02  0.57944734E-23  0.79736792E-40
  0.21400000E+02  0.57458251E-23  0.11501853E-39
  0.21500000E+02  0.56977648E-23  0.73053809E-40
  0.21600000E+02  0.56502832E-23  0.93080335E-40
  0.21700000E+02  0.56033717E-23  0.10402119E-39
  0.21800000E+02  0.55570213E-23  0.77294274E-40
  0.21900000E+02  0.55112237E-23  0.13138967E-39
  0.22000000E+02  0.54659702E-23  0.11414936E-39
  0.22100000E+02  0.54212528E-23  0.11095529E-39
  0.22200000E+02  0.53770632E-23  0.97084724E-40
  0.22300000E+02  0.53333936E-23  0.58548925E-40
  0.22400000E+02  0.52902360E-23  0.10015817E-39
  0.22500000E+02  0.52475828E-23  0.73427197E-40
  0.22600000E+02  0.52054265E-23  0.87665679E-40
  0.22700000E+02  0.51637596E-23  0.12276106E-39
  0.22800000E+02  0.51225749E-23  0.88119034E-40
  0.22900000E+02  0.50818653E-23  0.57944552E-40
  0.23000000E+02  0.50416236E-23  0.98445994E-40
  0.23100000E+02  0.50018430E-23  0.10104010E-39
  0.23200000E+02  0.49625168E-23  0.85050285E-40
  0.23300000E+02  0.49236382E-23  0.90296282E-40
  0.23400000E+02  0.48852007E-23  0.40601285E-40
  0.23500000E+02  0.48471980E-23  0.81087694E-40
  0.23600000E+02  0.48096236E-23  0.88188137E-40
  0.23700000E+02  0.47724715E-23  0.90963983E-40
  0.23800000E+02  0.47357354E-23  0.53033091E-40
  0.23900000E+02  0.46994094E-23  0.96524096E-40
  0.24000000E+02  0.46634876E-23  0.85405959E-40
  0.24100000E+02  0.46279642E-23  0.96253193E-40
  0.24200000E+02  0.45928336E-23  0.10552721E-39
  0.24300000E+02  0.45580902E-23  0.56478606E-40
  0.24400000E+02  0.45237283E-23  0.72481540E-40
  0.24500000E+02  0.44897428E-23  0.61905951E-40
  0.24600000E+02  0.44561282E-23  0.58651649E-40
  0.24700000E+02  0.44228793E-23  0.85691677E-40
  0.24800000E+02  0.43899910E-23  0.77477256E-40
  0.24900000E+02  0.43574583E-23  0.64016990E-40
  0.25000000E+02  0.43252762E-23  0.69869284E-40
  0.25100000E+02  0.42934398E-23  0.61519505E-40
  0.25200000E+02  0.42619443E-23  0.34990373E-40
  0.25300000E+02  0.42307851E-23  0.54525797E-40
  0.25400000E+02  0.41999575E-23  0.59141208E-40
  0.25500000E+02  0.41694569E-23  0.59048278E-40
  0.25600000E+02  0.41392788E-23  0.45281410E-40
  0.25700000E+02  0.41094189E-23  0.48483641E-40
  0.25800000E+02  0.40798727E-23  0.65952342E-40
  0.25900000E+02  0.40506362E-23  0.64485157E-40
  0.26000000E+02  0.40217050E-23  0.56203987E-40
  0.26100000E+02  0.39930750E-23  0.66575752E-40
  0.26200000E+02  0.39647421E-23  0.57235365E-40
  0.26300000E+02  0.39367025E-23  0.94986205E-40
  0.26400000E+02  0.39089521E-23  0.72556353E-40
  0.26500000E+02  0.38814871E-23  0.67765820E-40
  0.26600000E+02  0.38543037E-23  0.60760076E-40
  0.26700000E+02  0.38273981E-23  0.67220311E-40
  0.26800000E+02  0.38007667E-23  0.69688709E-40
  0.26900000E+02  0.37744059E-23  0.60597506E-40
  0.27000000E+02  0.37483120E-23  0.63977442E-40
  0.27100000E+02  0.37224817E-23  0.71766365E-40
  0.27200000E+02  0.36969113E-23  0.71190833E-40
  0.27300000E+02  0.36715976E-23  0.76726879E-40
  0.27400000E+02  0.36465372E-23  0.51981428E-40
  0.27500000E+02  0.36217269E-23  0.87588817E-40
  0.27600000E+02  0.35971633E-23  0.85559073E-40
  0.27700000E+02  0.35728432E-23  0.58160577E-40
  0.27800000E+02  0.35487637E-23  0.65300596E-40
  0.27900000E+02  0.35249215E-23  0.43668355E-40
  0.28000000E+02  0.35013136E-23  0.48135144E-40
  0.28100000E+02  0.34779371E-23  0.57184882E-40
  0.28200000E+02  0.34547890E-23  0.42266288E-40
  0.28300000E+02  0.34318663E-23  0.65683639E-40
  0.28400000E+02  0.34091663E-23  0.47982174E-40
  0.28500000E+02  0.33866862E-23  0.26689549E-40
  0.28600000E+02  0.33644231E-23  0.69052275E-40
  0.28700000E+02  0.33423743E-23  0.56497155E-40
  0.28800000E+02  0.33205372E-23  0.37444460E-40
  0.28900000E+02  0.32989091E-23  0.51827124E-40
  0.29000000E+02  0.32774874E-23  0.59643871E-40
  0.29100000E+02  0.32562695E-23  0.70630888E-40
  0.29200000E+02  0.32352530E-23  0.48939887E-40
  0.29300000E+02  0.32144353E-23  0.58693016E-40
  0.29400000E+02  0.31938140E-23  0.39685027E-40
  0.29500000E+02  0.31733867E-23  0.68159919E-40
  0.29600000E+02  0.31531510E-23  0.50224166E-40
  0.29700000E+02  0.31331045E-23  0.36509120E-40
  0.29800000E+02  0.31132450E-23  0.59857463E-40
  0.29900000E+02  0.30935702E-23  0.45616859E-40
  0.30000000E+02  0.30740778E-23  0.56069615E-40
  0.30100000E+02  0.30547656E-23  0.40743889E-40
  0.30200000E+02  0.30356316E-23  0.57552958E-40
  0.30300000E+02  0.30166734E-23  0.51701565E-40
  0.30400000E+02  0.29978891E-23  0.45576842E-40
