  0.11000000E+02  0.33134057E-25 -0.10404963E-37
  0.11100000E+02  0.31762951E-25 -0.10214390E-37
  0.11200000E+02  0.30435058E-25 -0.10043773E-37
  0.11300000E+02  0.29148956E-25 -0.98920647E-38
  0.11400000E+02  0.27903277E-25 -0.97234740E-38
  0.11500000E+02  0.26696700E-25 -0.95894314E-38
  0.11600000E+02  0.25527951E-25 -0.93968188E-38
  0.11700000E+02  0.24395803E-25 -0.92521255E-38
  0.11800000E+02  0.23299070E-25 -0.91187789E-38
  0.11900000E+02  0.22236611E-25 -0.89746704E-38
  0.12000000E+02  0.21207321E-25 -0.88291881E-38
  0.12100000E+02  0.20210136E-25 -0.86839824E-38
  0.12200000E+02  0.19244030E-25 -0.85506548E-38
  0.12300000E+02  0.18308010E-25 -0.84203861E-38
  0.12400000E+02  0.17401119E-25 -0.82873201E-38
  0.12500000E+02  0.16522433E-25 -0.81668776E-38
  0.12600000E+02  0.15671059E-25 -0.80418970E-38
  0.12700000E+02  0.14846134E-25 -0.79506468E-38
  0.12800000E+02  0.14046827E-25 -0.78079172E-38
  0.12900000E+02  0.13272333E-25 -0.76987456E-38
  0.13000000E+02  0.12521874E-25 -0.75995608E-38
  0.13100000E+02  0.11794699E-25 -0.74868741E-38
  0.13200000E+02  0.11090083E-25 -0.73776834E-38
  0.13300000E+02  0.10407324E-25 -0.72689859E-38
  0.13400000E+02  0.97457443E-26 -0.71658994E-38
  0.13500000E+02  0.91046883E-26 -0.70768946E-38
  0.13600000E+02  0.84835224E-26 -0.69745766E-38
  0.13700000E+02  0.78816337E-26 -0.68930355E-38
  0.13800000E+02  0.72984299E-26 -0.67837730E-38
  0.13900000E+02  0.67333378E-26 -0.67002504E-38
  0.14000000E+02  0.61858033E-26 -0.66144992E-38
  0.14100000E+02  0.56552901E-26 -0.65138436E-38
  0.14200000E+02  0.51412796E-26 -0.64271030E-38
  0.14300000E+02  0.46432701E-26 -0.63575281E-38
  0.14400000E+02  0.41607758E-26 -0.62683675E-38
  0.14500000E+02  0.36933271E-26 -0.61868370E-38
  0.14600000E+02  0.32404689E-26 -0.60993267E-38
  0.14700000E+02  0.28017614E-26 -0.60360262E-38
  0.14800000E+02  0.23767783E-26 -0.59393849E-38
  0.14900000E+02  0.19651072E-26 -0.58720257E-38
  0.15000000E+02  0.15663488E-26 -0.57939738E-38
  0.15100000E+02  0.11801166E-26 -0.57271593E-38
  0.15200000E+02  0.80603593E-27 -0.56621350E-38
  0.15300000E+02  0.44374442E-27 -0.55862366E-38
  0.15400000E+02  0.92890858E-28 -0.55294977E-38
  0.15500000E+02 -0.24686485E-27 -0.54507134E-38
  0.15600000E+02 -0.57585218E-27 -0.53752648E-38
  0.15700000E+02 -0.89439027E-27 -0.53217797E-38
  0.15800000E+02 -0.12027883E-26 -0.52541681E-38
  0.15900000E+02 -0.15013460E-26 -0.51879212E-38
