  0.00000000E+00  0.22533123E-23  0.15305360E-35
  0.10000000E+00  0.22659971E-23  0.15293323E-35
  0.20000000E+00  0.23036474E-23  0.15239201E-35
  0.30000000E+00  0.23650797E-23  0.15149905E-35
  0.40000000E+00  0.24484120E-23  0.15034718E-35
  0.50000000E+00  0.25511865E-23  0.14872888E-35
  0.60000000E+00  0.26705199E-23  0.14689098E-35
  0.70000000E+00  0.28032625E-23  0.14473868E-35
  0.80000000E+00  0.29461533E-23  0.14228573E-35
  0.90000000E+00  0.30959571E-23  0.13982304E-35
  0.10000000E+01  0.32495779E-23  0.13704068E-35
  0.11000000E+01  0.34041438E-23  0.13411046E-35
  0.12000000E+01  0.35570661E-23  0.13105220E-35
  0.13000000E+01  0.37060730E-23  0.12794324E-35
  0.14000000E+01  0.38492234E-23  0.12464777E-35
  0.15000000E+01  0.39849052E-23  0.12131562E-35
  0.16000000E+01  0.41118219E-23  0.11794611E-35
  0.17000000E+01  0.42289710E-23  0.11459950E-35
  0.18000000E+01  0.43356187E-23  0.11131798E-35
  0.19000000E+01  0.44312712E-23  0.10803628E-35
  0.20000000E+01  0.45156457E-23  0.10470054E-35
  0.21000000E+01  0.45886422E-23  0.10153727E-35
  0.22000000E+01  0.46503160E-23  0.98428476E-36
  0.23000000E+01  0.47008526E-23  0.95291053E-36
  0.24000000E+01  0.47405445E-23  0.92184101E-36
  0.25000000E+01  0.47697703E-23  0.89318501E-36
  0.26000000E+01  0.47889756E-23  0.86340147E-36
  0.27000000E+01  0.47986573E-23  0.83589107E-36
  0.28000000E+01  0.47993483E-23  0.80854844E-36
  0.29000000E+01  0.47916059E-23  0.78178212E-36
  0.30000000E+01  0.47760006E-23  0.75622068E-36
  0.31000000E+01  0.47531074E-23  0.73179131E-36
  0.32000000E+01  0.47234984E-23  0.70768184E-36
  0.33000000E+01  0.46877365E-23  0.68458112E-36
  0.34000000E+01  0.46463707E-23  0.66232273E-36
  0.35000000E+01  0.45999321E-23  0.64087393E-36
  0.36000000E+01  0.45489307E-23  0.61965452E-36
  0.37000000E+01  0.44938536E-23  0.59973829E-36
  0.38000000E+01  0.44351633E-23  0.58086070E-36
  0.39000000E+01  0.43732965E-23  0.56154619E-36
  0.40000000E+01  0.43086642E-23  0.54435500E-36
  0.41000000E+01  0.42416508E-23  0.52718087E-36
  0.42000000E+01  0.41726152E-23  0.51077600E-36
  0.43000000E+01  0.41018904E-23  0.49394036E-36
  0.44000000E+01  0.40297851E-23  0.47877949E-36
  0.45000000E+01  0.39565836E-23  0.46426263E-36
  0.46000000E+01  0.38825478E-23  0.44996189E-36
  0.47000000E+01  0.38079172E-23  0.43593966E-36
  0.48000000E+01  0.37329108E-23  0.42326454E-36
  0.49000000E+01  0.36577279E-23  0.41049293E-36
  0.50000000E+01  0.35825491E-23  0.39808198E-36
  0.51000000E+01  0.35075378E-23  0.38641217E-36
  0.52000000E+01  0.34328412E-23  0.37493511E-36
